region,province,municipality,active_population,employed_population
Taza Al Hoceima Taounat,Taza,CR-Meknassa Al Gharbia,1 742,1 710
Taza Al Hoceima Taounat,Taza,CR-Oulad Chrif,4 691,4 596
Tanger Tetouan,Chefchaouen,(Tous),203 293,195 355
Tanger Tetouan,Chefchaouen,MU-Chefchaouen,12 628,10 790
Tanger Tetouan,Chefchaouen,CR-Amtar,4 027,3 940
Tanger Tetouan,Chefchaouen,CR-Bab Berred,8 150,8 064
Tanger Tetouan,Chefchaouen,AC-Bab berred,2 191,1 834
Tanger Tetouan,Chefchaouen,CR-Bni Ahmed Cherqia,3 739,3 583
Tanger Tetouan,Chefchaouen,CR-Bni Ahmed Gharbia,5 070,4 899
Tanger Tetouan,Chefchaouen,CR-Bni Rzine,7 747,7 582
Tanger Tetouan,Chefchaouen,CR-Bni Smih,6 529,6 486
Tanger Tetouan,Chefchaouen,CR-Iounane,9 990,9 707
Tanger Tetouan,Chefchaouen,CR-Mansoura,6 632,6 573
Tanger Tetouan,Chefchaouen,CR-M tioua,3 474,3 424
Tanger Tetouan,Chefchaouen,AC-Jebha,1 075,871
Tanger Tetouan,Chefchaouen,CR-Ouaouzgane,6 061,6 024
Tanger Tetouan,Chefchaouen,CR-Oued Malha,3 987,3 954
Tanger Tetouan,Chefchaouen,CR-Tamorot,9 213,8 960
Tanger Tetouan,Chefchaouen,CR-Bab Taza,9 253,8 681
Tanger Tetouan,Chefchaouen,AC-Bab Taza,1 397,1 193
Tanger Tetouan,Chefchaouen,CR-Bni Darkoul,3 799,3 644
Tanger Tetouan,Chefchaouen,CR-Bni Faghloum,4 122,4 056
Tanger Tetouan,Chefchaouen,CR-Bni Salah,3 389,3 379
Tanger Tetouan,Chefchaouen,CR-Derdara,5 469,5 371
Tanger Tetouan,Chefchaouen,CR-Fifi,3 022,2 912
Tanger Tetouan,Chefchaouen,CR-Laghdir,2 963,2 942
Tanger Tetouan,Chefchaouen,CR-Tanaqoub,2 999,2 963
Tanger Tetouan,Chefchaouen,CR-Bni Bouzra,5 457,4 996
Tanger Tetouan,Chefchaouen,CR-Bni Mansour,8 023,7 958
Tanger Tetouan,Chefchaouen,CR-Bni Selmane,7 602,7 242
Tanger Tetouan,Chefchaouen,CR-Steha,4 777,4 665
Tanger Tetouan,Chefchaouen,CR-Talambote,4 013,3 980
Tanger Tetouan,Chefchaouen,CR-Tassift,3 342,3 241
Tanger Tetouan,Chefchaouen,CR-Tizgane,4 390,4 206
Tanger Tetouan,Chefchaouen,CR-Ain Beida,4 574,4 416
Tanger Tetouan,Chefchaouen,CR-Asjen,5 195,5 083
Tanger Tetouan,Chefchaouen,CR-Brikcha,3 997,3 897
Tanger Tetouan,Chefchaouen,AC-Brikcha,513,423
Tanger Tetouan,Chefchaouen,CR-Kalaat Bouqorra,6 400,6 319
Tanger Tetouan,Chefchaouen,CR-Moqrisset,3 692,3 561
Tanger Tetouan,Chefchaouen,AC-Moqrisset,509,402
Tanger Tetouan,Chefchaouen,CR-Zoumi,12 773,12 261
Tanger Tetouan,Chefchaouen,AC-Zoumi,1 110,873
Tanger Tetouan,Fahs Anjra,(Tous),33 007,30 188
Tanger Tetouan,Fahs Anjra,CR-Anjra,5 145,4 851
Tanger Tetouan,Fahs Anjra,CR-Jouamaa,2 292,2 053
Tanger Tetouan,Fahs Anjra,CR-Ksar El Majaz,2 711,2 528
Tanger Tetouan,Fahs Anjra,CR-Taghramt,4 786,4 126
Tanger Tetouan,Fahs Anjra,CR-Al Bahraoyine,3 489,3 195
Tanger Tetouan,Fahs Anjra,CR-Ksar Sghir,3 643,3 281
Tanger Tetouan,Fahs Anjra,CR-Laaouama,7 316,6 742
Tanger Tetouan,Fahs Anjra,CR-Malloussa,3 625,3 412
Tanger Tetouan,Larache,(Tous),166 925,148 413
Tanger Tetouan,Larache,MU-Ksar El Kebir,35 606,28 855
Tanger Tetouan,Larache,MU-Larache,38 596,32 796
Tanger Tetouan,Larache,CR-Bou Jedyane,4 039,3 888
Tanger Tetouan,Larache,CR-Ksar Bjir,4 954,4 519
Tanger Tetouan,Larache,CR-Laouamra,13 000,11 848
Tanger Tetouan,Larache,CR-Oulad Ouchih,7 065,6 539
Tanger Tetouan,Larache,CR-Souaken,4 216,4 153
Tanger Tetouan,Larache,CR-Souk L Qolla,5 696,5 568
Tanger Tetouan,Larache,CR-Souk Tolba,5 132,5 109
Tanger Tetouan,Larache,CR-Tatoft,4 191,4 011
Tanger Tetouan,Larache,CR-Zouada,7 729,7 151
Tanger Tetouan,Larache,CR-Ayacha,3 401,3 303
Tanger Tetouan,Larache,CR-Bni Arouss,3 858,3 530
Tanger Tetouan,Larache,CR-Bni Garfett,5 540,5 149
Tanger Tetouan,Larache,CR-Rissana Chamalia,5 185,4 991
Tanger Tetouan,Larache,CR-Rissana Janoubia,5 919,5 759
Tanger Tetouan,Larache,CR-Sahel,4 410,3 942
Tanger Tetouan,Larache,AC-Khemis sahel,1 772,1 215
Tanger Tetouan,Larache,CR-Tazroute,1 935,1 725
Tanger Tetouan,Larache,CR-Zaaroura,4 681,4 362
Tanger Tetouan,Tanger Assilah,(Tous),295 766,257 588
Tanger Tetouan,Tanger Assilah,MU-Assilah,10 579,8 726
Tanger Tetouan,Tanger Assilah,AR-Bni Makada,90 801,79 256
Tanger Tetouan,Tanger Assilah,AR-Charf Mghogha,56 416,48 486
Tanger Tetouan,Tanger Assilah,AR-Charf Souani,44 864,38 532
Tanger Tetouan,Tanger Assilah,AR-Tanger Medina,69 486,61 187
Tanger Tetouan,Tanger Assilah,CR-Al Manzla,1 114,1 005
Tanger Tetouan,Tanger Assilah,CR-Aquouass Briech,1 468,1 409
Tanger Tetouan,Tanger Assilah,CR-Azzinate,1 704,1 499
Tanger Tetouan,Tanger Assilah,CR-Dar Chaoui,1 143,1 068
Tanger Tetouan,Tanger Assilah,AC-Dar Chaoui,518,346
Tanger Tetouan,Tanger Assilah,CR-Lkhaloua,4 740,4 482
Tanger Tetouan,Tanger Assilah,CR-Sahel Chamali,2 241,2 129
Tanger Tetouan,Tanger Assilah,CR-Sidi Lyamani,3 648,3 226
Tanger Tetouan,Tanger Assilah,AC-Tnin sidi Lyamani,379,295
Tanger Tetouan,Tanger Assilah,CR-Boukhalef,5 471,4 901
Tanger Tetouan,Tanger Assilah,AC-Gueznaia,1 194,1 041
Tanger Tetouan,Tetouan,(Tous),230 375,199 373
Tanger Tetouan,Tetouan,MU-Fnidq,19 327,16 688
Tanger Tetouan,Tetouan,MU-Martil,14 448,12 637
Tanger Tetouan,Tetouan,MU-M'Diq,13 245,11 079
Tanger Tetouan,Tetouan,MU-Oued Laou,2 670,2 342
Tanger Tetouan,Tetouan,MU-Tetouan,118 608,97 721
Tanger Tetouan,Tetouan,CR-Ain Lahsan,2 233,2 059
Tanger Tetouan,Tetouan,CR-Allyene,2 428,2 193
Tanger Tetouan,Tetouan,CR-Bni Harchen,3 195,3 147
Tanger Tetouan,Tetouan,CR-Jbel Lahbib,1 161,1 010
Tanger Tetouan,Tetouan,AC-Karia,390,328
Tanger Tetouan,Tetouan,CR-Mallalienne,4 081,3 633
Tanger Tetouan,Tetouan,CR-Saddina,2 223,2 072
Tanger Tetouan,Tetouan,CR-Souk Kdim,2 678,2 545
Tanger Tetouan,Tetouan,CR-Al Hamra,3 791,3 642
Tanger Tetouan,Tetouan,CR-AL Khrroub,1 415,1 397
Tanger Tetouan,Tetouan,CR-Al Oued,4 996,4 866
Tanger Tetouan,Tetouan,CR-Azla,5 605,5 061
Tanger Tetouan,Tetouan,CR-Bghaghza,2 274,2 224
Tanger Tetouan,Tetouan,CR-Bni Idder,1 655,1 612
Tanger Tetouan,Tetouan,CR-Bni Leit,2 352,2 342
Tanger Tetouan,Tetouan,CR-Bni Said,3 681,3 533
Tanger Tetouan,Tetouan,CR-Dar Bni Karrich,711,559
Tanger Tetouan,Tetouan,AC-Dar Bni Karrich,1 497,1 322
Tanger Tetouan,Tetouan,CR-Oulad Ali Mansour,2 793,2 782
Tanger Tetouan,Tetouan,CR-Sahtryine,2 593,2 542
Tanger Tetouan,Tetouan,CR-Zaitoune,2 703,2 573
Tanger Tetouan,Tetouan,CR-Zaouiat Sidi Kacem,5 121,5 041
Tanger Tetouan,Tetouan,CR-Zinat,2 501,2 423
